iter	MultiClass
0	1.037171012
1	0.989803278
2	0.9490402942
3	0.91660339
4	0.8879268734
5	0.8579782244
6	0.8319539733
7	0.8091954864
8	0.7894552064
9	0.7731498052
10	0.7584804619
11	0.7464305205
12	0.7316081665
13	0.7193859579
14	0.7087966791
15	0.6993072532
16	0.6914927282
17	0.6835481687
18	0.6763237187
19	0.6707629382
20	0.6652708485
21	0.6612463189
22	0.6569573606
23	0.6533372339
24	0.649299309
25	0.6455873158
26	0.6421730607
27	0.6388544907
28	0.6364924585
29	0.6343105507
30	0.6319160491
31	0.6296131827
32	0.6277139914
33	0.6250419387
34	0.6234377682
35	0.6218261732
36	0.6201337025
37	0.6184501323
38	0.6177186196
39	0.6162144883
40	0.6151522617
41	0.6138716558
42	0.6129687591
43	0.6116470935
44	0.6103631206
45	0.6087619682
46	0.6079002715
47	0.6070770318
48	0.6063130439
49	0.6047501686
50	0.6032139774
51	0.6024928775
52	0.6017449165
53	0.6010563565
54	0.6002868825
55	0.5991960054
56	0.5986652832
57	0.5981486872
58	0.5973199254
59	0.5963627458
60	0.5960171075
61	0.5954342502
62	0.5946234771
63	0.594270834
64	0.5937605356
65	0.5929987236
66	0.5924833511
67	0.5917215711
68	0.5914724664
69	0.5910251499
70	0.5903775167
71	0.5900845414
72	0.5895337867
73	0.5892266271
74	0.5886381033
75	0.5878513983
76	0.5874769368
77	0.5872541326
78	0.5869994489
79	0.5863309225
80	0.5861475228
81	0.5859767115
82	0.5855386757
83	0.5851754441
84	0.5848387836
85	0.5844350612
86	0.5841692061
87	0.583687307
88	0.5833718607
89	0.5827960921
90	0.5822097282
91	0.5819923101
92	0.5813043692
93	0.5808888747
94	0.5803196661
95	0.5801044064
96	0.5793105792
97	0.5790711197
98	0.5789315958
99	0.5787405529
100	0.5786152549
101	0.5785289233
102	0.5783868287
103	0.5781515336
104	0.5777310643
105	0.5772546055
106	0.5770788958
107	0.576632036
108	0.5765056132
109	0.5760203536
110	0.5757572124
111	0.5753270076
112	0.5750101555
113	0.5748192674
114	0.5744659018
115	0.5736972092
116	0.573199675
117	0.5728665907
118	0.5726116882
119	0.572190643
120	0.5717563613
121	0.5715643252
122	0.5715296734
123	0.5713304029
124	0.571125718
125	0.570458415
126	0.5700998506
127	0.5697239982
128	0.569613855
129	0.5692623055
130	0.5690107123
131	0.5686314042
132	0.5684378435
133	0.5682539421
134	0.5679096592
135	0.567835777
136	0.5675232019
137	0.5672853574
138	0.5670398233
139	0.5669237818
140	0.5666949727
141	0.5663188215
142	0.5661431886
143	0.5659786436
144	0.5657944556
145	0.5654161735
146	0.5651605499
147	0.5650956103
148	0.5650093463
149	0.5648852122
150	0.5647730391
151	0.5645858561
152	0.5641635994
153	0.5639716236
154	0.5636868218
155	0.563633538
156	0.563309253
157	0.5628195867
158	0.562534186
159	0.5624264002
160	0.5621501255
161	0.5618157955
162	0.5614826005
163	0.5613435128
164	0.5612510005
165	0.5609324152
166	0.5608368233
167	0.5605912999
168	0.5602558001
169	0.5600624045
170	0.559642285
171	0.5594975769
172	0.5593443952
173	0.5591663528
174	0.5589443232
175	0.5588229149
176	0.5586192192
177	0.5585635726
178	0.5584596853
179	0.5582190615
180	0.5580339608
181	0.5577574448
182	0.5575080058
183	0.5572561823
184	0.5570776402
185	0.5567776442
186	0.5566906947
187	0.5565779199
188	0.5564095126
189	0.5562599202
190	0.5561516632
191	0.5559719394
192	0.5558649735
193	0.5557753942
194	0.5556426519
195	0.5554933371
196	0.5553626397
197	0.5552914614
198	0.5552213585
199	0.5549550936
200	0.5547653183
201	0.5545536526
202	0.554314631
203	0.5541257447
204	0.5539574362
205	0.5539120965
206	0.553826471
207	0.5537190814
208	0.5536598659
209	0.5535509489
210	0.5535199503
211	0.553302937
212	0.5531243949
213	0.5530873255
214	0.5529489871
215	0.5528885992
216	0.5527332927
217	0.552688511
218	0.5525202211
219	0.5523704092
220	0.5521900069
221	0.5520884205
222	0.552039029
223	0.5518987419
224	0.5517692779
225	0.5514548024
226	0.5513365647
227	0.5512845193
228	0.551197288
229	0.5511779774
230	0.5510734035
231	0.5509027428
232	0.5507128024
233	0.5505593165
234	0.5502810508
235	0.5502272534
236	0.5501761261
237	0.5500426026
238	0.549981882
239	0.549767513
240	0.5497067848
241	0.5495268905
242	0.5494227846
243	0.5493674034
244	0.549252878
245	0.5490477097
246	0.548808964
247	0.5487722156
248	0.5487288162
249	0.5486613152
250	0.5484837378
251	0.5484184697
252	0.5481863531
253	0.5480648814
254	0.5479392503
255	0.5478153837
256	0.5476589776
257	0.5475340029
258	0.5473877782
259	0.5471873818
260	0.5470795738
261	0.5470135991
262	0.5469642834
263	0.5468772257
264	0.5468124134
265	0.546742109
266	0.5466402081
267	0.5464882789
268	0.5463394417
269	0.5462812932
270	0.5461883921
271	0.5461213608
272	0.546035913
273	0.5458912246
274	0.5457245903
275	0.5456689746
276	0.5455851271
277	0.5455024732
278	0.5453919589
279	0.54499328
280	0.5448192549
281	0.5447601039
282	0.5446035317
283	0.544397461
284	0.5442991595
285	0.5441821974
286	0.544059296
287	0.543962065
288	0.5437869218
289	0.5436923693
290	0.5434324371
291	0.5433787393
292	0.543281652
293	0.5431453695
294	0.5429622292
295	0.5426683467
296	0.5425278987
297	0.5424522064
298	0.5423724046
299	0.5421632026
300	0.5418561979
301	0.5417169957
302	0.5416625891
303	0.5415502263
304	0.5414782515
305	0.5413944954
306	0.541345361
307	0.5412744327
308	0.5411165578
309	0.5409295433
310	0.5408734251
311	0.5407302455
312	0.5406286938
313	0.5402870283
314	0.5402696392
315	0.5399772144
316	0.5397876257
317	0.5397295789
318	0.5396318175
319	0.5395852981
320	0.5394678648
321	0.5393215294
322	0.5392049701
323	0.5391051346
324	0.5390723608
325	0.5389627803
326	0.5387815735
327	0.5387012897
328	0.5386334575
329	0.5386087981
330	0.5384779863
331	0.538379889
332	0.538027512
333	0.5379651764
334	0.5378166406
335	0.5377386348
336	0.5375682081
337	0.5374912341
338	0.5374281421
339	0.5373202817
340	0.5372378789
341	0.5371464978
342	0.5370054847
343	0.5368287124
344	0.5366740158
345	0.5366116692
346	0.5364803722
347	0.5363189281
348	0.5362949213
349	0.5362161495
350	0.5360868794
351	0.5360028689
352	0.5358429439
353	0.5357705735
354	0.5356228059
355	0.5355771501
356	0.535511329
357	0.535397349
358	0.5352435793
359	0.5351719023
360	0.5351585216
361	0.535087057
362	0.5350244874
363	0.5347948533
364	0.5345529628
365	0.5341417954
366	0.5340100957
367	0.5339253758
368	0.5337233973
369	0.5332054567
370	0.5331492872
371	0.5330969712
372	0.5330376042
373	0.532946735
374	0.5329174141
375	0.5327457007
376	0.5326749231
377	0.5326014726
378	0.532571949
379	0.5324170149
380	0.5323211354
381	0.5322736642
382	0.5321356282
383	0.5321140351
384	0.5319100134
385	0.5318379548
386	0.531606118
387	0.5314132616
388	0.531308466
389	0.5311993376
390	0.5310689827
391	0.5307652911
392	0.5306694016
393	0.5306408662
394	0.5305796766
395	0.5304621241
396	0.5303604855
397	0.5302309468
398	0.5301729168
399	0.5301079501
400	0.5300185019
401	0.5299402953
402	0.5298824161
403	0.5297971071
404	0.5297283974
405	0.5296844084
406	0.5294924121
407	0.5293714832
408	0.5292676271
409	0.5292185073
410	0.5290564183
411	0.528965662
412	0.5288647146
413	0.5287635322
414	0.5286912725
415	0.5286290633
416	0.5285357125
417	0.528432936
418	0.5283369174
419	0.5283070102
420	0.5282467716
421	0.5280634706
422	0.5278632956
423	0.5277687276
424	0.5276742882
425	0.5274375078
426	0.527409714
427	0.5273617559
428	0.5272898355
429	0.5272057626
430	0.5271153902
