iter	Passed	Remaining
0	56	56798
1	106	53351
2	155	51762
3	202	50430
4	249	49609
5	292	48416
6	329	46693
7	365	45310
8	402	44332
9	438	43372
10	475	42743
11	516	42493
12	553	42005
13	587	41349
14	622	40866
15	663	40813
16	712	41171
17	746	40710
18	790	40813
19	830	40705
20	871	40623
21	919	40871
22	959	40753
23	1008	41014
24	1047	40859
25	1089	40799
26	1131	40758
27	1174	40782
28	1215	40701
29	1258	40697
30	1303	40745
31	1345	40701
32	1385	40612
33	1425	40496
34	1463	40344
35	1504	40296
36	1547	40267
37	1588	40206
38	1636	40328
39	1683	40409
40	1728	40441
41	1775	40491
42	1819	40488
43	1862	40472
44	1910	40537
45	1955	40556
46	2002	40609
47	2044	40547
48	2088	40527
49	2137	40604
50	2173	40438
51	2222	40516
52	2267	40519
53	2316	40589
54	2366	40665
55	2431	40986
56	2492	41240
57	2543	41311
58	2583	41204
59	2624	41115
60	2674	41177
61	2716	41104
62	2766	41141
63	2815	41180
64	2859	41131
65	2912	41217
66	2951	41100
67	2992	41017
68	3041	41044
69	3086	41011
70	3134	41015
71	3175	40930
72	3221	40913
73	3271	40941
74	3311	40836
75	3356	40804
76	3406	40838
77	3454	40835
78	3505	40871
79	3545	40771
80	3595	40796
81	3648	40846
82	3693	40805
83	3743	40823
84	3794	40852
85	3841	40826
86	3891	40836
87	3938	40819
88	3993	40879
89	4035	40801
90	4081	40768
91	4127	40740
92	4177	40740
93	4220	40681
94	4267	40649
95	4313	40617
96	4363	40625
97	4405	40547
98	4455	40549
99	4505	40552
100	4555	40548
101	4609	40581
102	4656	40550
103	4698	40478
104	4750	40489
105	4795	40447
106	4846	40449
107	4889	40380
108	4934	40335
109	4986	40341
110	5034	40321
111	5081	40290
112	5123	40215
113	5175	40222
114	5216	40145
115	5261	40095
116	5306	40051
117	5359	40057
118	5405	40016
119	5449	39961
120	5502	39976
121	5557	39993
122	5606	39976
123	5657	39970
124	5704	39931
125	5750	39891
126	5798	39858
127	5849	39851
128	5903	39859
129	5954	39850
130	6004	39831
131	6051	39794
132	6102	39777
133	6152	39764
134	6203	39745
135	6257	39750
136	6305	39717
137	6350	39665
138	6399	39640
139	6449	39618
140	6497	39584
141	6548	39570
142	6599	39551
143	6647	39513
144	6696	39488
145	6748	39476
146	6793	39419
147	6846	39410
148	6890	39353
149	6937	39314
150	6988	39295
151	7039	39273
152	7084	39221
153	7139	39218
154	7181	39150
155	7231	39121
156	7276	39069
157	7330	39064
158	7376	39016
159	7419	38952
160	7464	38900
161	7513	38865
162	7559	38818
163	7608	38786
164	7660	38765
165	7710	38739
166	7763	38726
167	7810	38680
168	7861	38654
169	7910	38622
170	7966	38620
171	8016	38591
172	8065	38554
173	8114	38518
174	8163	38487
175	8214	38460
176	8260	38407
177	8309	38375
178	8362	38353
179	8409	38308
180	8461	38286
181	8509	38244
182	8556	38200
183	8607	38174
184	8661	38156
185	8708	38111
186	8761	38090
187	8808	38046
188	8855	37998
189	8907	37974
190	8947	37897
191	8995	37855
192	9040	37803
193	9094	37784
194	9146	37757
195	9194	37715
196	9244	37683
197	9297	37658
198	9346	37620
199	9396	37584
200	9445	37545
201	9493	37505
202	9545	37477
203	9590	37420
204	9637	37376
205	9691	37353
206	9740	37313
207	9792	37287
208	9841	37248
209	9886	37192
210	9936	37155
211	9984	37112
212	10032	37068
213	10085	37044
214	10141	37029
215	10197	37013
216	10243	36959
217	10291	36918
218	10335	36860
219	10381	36807
220	10433	36776
221	10485	36747
222	10536	36712
223	10588	36682
224	10641	36653
225	10689	36607
226	10737	36565
227	10792	36543
228	10846	36517
229	10896	36478
230	10949	36449
231	11032	36522
232	11087	36499
233	11134	36449
234	11178	36388
235	11228	36351
236	11284	36328
237	11333	36285
238	11386	36255
239	11440	36227
240	11490	36189
241	11541	36150
242	11592	36113
243	11644	36079
244	11694	36038
245	11740	35983
246	11781	35917
247	11835	35889
248	11886	35851
249	11935	35806
250	11980	35750
251	12028	35703
252	12079	35664
253	12127	35618
254	12179	35583
255	12227	35535
256	12273	35483
257	12322	35440
258	12372	35397
259	12421	35352
260	12471	35311
261	12523	35276
262	12576	35242
263	12630	35212
264	12681	35172
265	12731	35131
266	12782	35092
267	12833	35052
268	12877	34992
269	12931	34963
270	12982	34922
271	13025	34863
272	13074	34818
273	13124	34774
274	13176	34736
275	13223	34687
276	13265	34625
277	13317	34586
278	13364	34536
279	13409	34481
280	13452	34419
281	13504	34384
282	13553	34339
283	13600	34288
284	13656	34260
285	13703	34210
286	13751	34163
287	13802	34122
288	13848	34070
289	13899	34031
290	13945	33977
291	13993	33930
292	14038	33875
293	14084	33821
294	14134	33778
295	14177	33718
296	14227	33675
297	14275	33629
298	14326	33589
299	14364	33518
300	14411	33466
301	14463	33427
302	14514	33388
303	14562	33340
304	14617	33308
305	14669	33269
306	14724	33236
307	14773	33192
308	14822	33145
309	14867	33093
310	14916	33047
311	14967	33004
312	15020	32969
313	15066	32916
314	15117	32874
315	15165	32827
316	15213	32779
317	15268	32745
318	15320	32707
319	15370	32661
320	15419	32616
321	15467	32567
322	15513	32516
323	15563	32471
324	15618	32438
325	15662	32382
326	15707	32327
327	15760	32289
328	15809	32243
329	15860	32201
330	15922	32180
331	15975	32143
332	16028	32104
333	16081	32065
334	16129	32018
335	16184	31982
336	16232	31934
337	16280	31887
338	16332	31846
339	16378	31793
340	16421	31734
341	16472	31693
342	16519	31641
343	16566	31591
344	16617	31548
345	16669	31509
346	16722	31469
347	16773	31425
348	16844	31420
349	16894	31374
350	16938	31319
351	16985	31268
352	17033	31220
353	17084	31176
354	17134	31132
355	17185	31087
356	17233	31040
357	17282	30991
358	17331	30946
359	17388	30912
360	17439	30870
361	17493	30831
362	17544	30787
363	17592	30739
364	17639	30687
365	17691	30646
366	17737	30592
367	17785	30544
368	17835	30498
369	17885	30452
370	17935	30408
371	17988	30368
372	18036	30318
373	18090	30280
374	18140	30233
375	18180	30171
376	18228	30122
377	18275	30072
378	18326	30028
379	18378	29985
380	18426	29936
381	18477	29892
382	18517	29831
383	18571	29791
384	18626	29754
385	18681	29716
386	18729	29667
387	18779	29620
388	18828	29573
389	18880	29531
390	18934	29491
391	18983	29443
392	19032	29395
393	19081	29349
394	19135	29309
395	19181	29256
396	19235	29215
397	19277	29158
398	19331	29117
399	19382	29074
400	19432	29027
401	19479	28976
402	19527	28928
403	19574	28877
404	19628	28837
405	19680	28793
406	19736	28755
407	19783	28705
408	19838	28666
409	19886	28617
410	19934	28567
411	19983	28520
412	20035	28476
413	20084	28429
414	20130	28377
415	20181	28332
416	20229	28282
417	20283	28241
418	20338	28201
419	20391	28159
420	20448	28123
421	20494	28071
422	20538	28016
423	20587	27967
424	20634	27917
425	20678	27862
426	20728	27816
427	20783	27776
428	20835	27731
429	20886	27686
430	20933	27635
431	20983	27589
432	21033	27543
433	21082	27494
434	21138	27455
435	21191	27412
436	21239	27363
437	21289	27316
438	21335	27265
439	21390	27224
440	21438	27174
441	21491	27132
442	21544	27088
443	21597	27045
444	21649	27000
445	21693	26946
446	21745	26902
447	21801	26861
448	21856	26821
449	21907	26775
450	21962	26734
451	22012	26688
452	22063	26641
453	22113	26594
454	22162	26546
455	22209	26495
456	22261	26450
457	22312	26404
458	22364	26359
459	22414	26312
460	22458	26258
461	22510	26213
462	22560	26165
463	22613	26122
464	22674	26087
465	22726	26043
466	22779	25999
467	22836	25959
468	22881	25906
469	22931	25858
470	22983	25813
471	23028	25760
472	23074	25708
473	23121	25658
474	23166	25605
475	23218	25560
476	23271	25516
477	23323	25470
478	23374	25424
479	23424	25376
480	23474	25329
481	23517	25273
482	23561	25219
483	23611	25172
484	23663	25127
485	23706	25071
486	23757	25025
487	23810	24981
488	23858	24932
489	23906	24882
490	23951	24829
491	24000	24780
492	24048	24731
493	24101	24687
494	24152	24640
495	24201	24591
496	24250	24543
